From,To,Intensity,Fuel,Value
2021-08-25T23:30Z,2021-08-26T00:00Z,70,biomass,0.0
2021-08-26T00:00Z,2021-08-26T00:30Z,71,biomass,0.0
2021-08-26T00:30Z,2021-08-26T01:00Z,65,biomass,0.0
2021-08-26T01:00Z,2021-08-26T01:30Z,59,biomass,0.0
2021-08-26T01:30Z,2021-08-26T02:00Z,59,biomass,0.0
2021-08-26T02:00Z,2021-08-26T02:30Z,59,biomass,0.0
2021-08-26T02:30Z,2021-08-26T03:00Z,59,biomass,0.0
2021-08-26T03:00Z,2021-08-26T03:30Z,59,biomass,0.0
2021-08-26T03:30Z,2021-08-26T04:00Z,57,biomass,0.0
2021-08-26T04:00Z,2021-08-26T04:30Z,58,biomass,0.0
2021-08-26T04:30Z,2021-08-26T05:00Z,65,biomass,0.0
2021-08-26T05:00Z,2021-08-26T05:30Z,72,biomass,0.0
2021-08-26T05:30Z,2021-08-26T06:00Z,83,biomass,0.0
2021-08-26T06:00Z,2021-08-26T06:30Z,89,biomass,0.0
2021-08-26T06:30Z,2021-08-26T07:00Z,94,biomass,0.0
2021-08-26T07:00Z,2021-08-26T07:30Z,85,biomass,0.0
2021-08-26T07:30Z,2021-08-26T08:00Z,86,biomass,0.0
2021-08-26T08:00Z,2021-08-26T08:30Z,88,biomass,0.0
2021-08-26T08:30Z,2021-08-26T09:00Z,83,biomass,0.0
2021-08-26T09:00Z,2021-08-26T09:30Z,82,biomass,0.0
2021-08-26T09:30Z,2021-08-26T10:00Z,82,biomass,0.0
2021-08-26T10:00Z,2021-08-26T10:30Z,80,biomass,0.0
2021-08-26T10:30Z,2021-08-26T11:00Z,80,biomass,0.0
2021-08-26T11:00Z,2021-08-26T11:30Z,80,biomass,0.0
2021-08-26T11:30Z,2021-08-26T12:00Z,77,biomass,0.0
2021-08-26T12:00Z,2021-08-26T12:30Z,75,biomass,0.0
2021-08-26T12:30Z,2021-08-26T13:00Z,74,biomass,0.0
2021-08-26T13:00Z,2021-08-26T13:30Z,74,biomass,0.0
2021-08-26T13:30Z,2021-08-26T14:00Z,70,biomass,0.0
2021-08-26T14:00Z,2021-08-26T14:30Z,70,biomass,0.0
2021-08-26T14:30Z,2021-08-26T15:00Z,71,biomass,0.0
2021-08-26T15:00Z,2021-08-26T15:30Z,67,biomass,0.0
2021-08-26T15:30Z,2021-08-26T16:00Z,70,biomass,0.0
2021-08-26T16:00Z,2021-08-26T16:30Z,73,biomass,0.0
2021-08-26T16:30Z,2021-08-26T17:00Z,72,biomass,0.0
2021-08-26T17:00Z,2021-08-26T17:30Z,70,biomass,0.0
2021-08-26T17:30Z,2021-08-26T18:00Z,72,biomass,0.0
2021-08-26T18:00Z,2021-08-26T18:30Z,72,biomass,0.0
2021-08-26T18:30Z,2021-08-26T19:00Z,72,biomass,0.0
2021-08-26T19:00Z,2021-08-26T19:30Z,77,biomass,0.0
2021-08-26T19:30Z,2021-08-26T20:00Z,77,biomass,0.0
2021-08-26T20:00Z,2021-08-26T20:30Z,79,biomass,0.0
2021-08-26T20:30Z,2021-08-26T21:00Z,82,biomass,0.0
2021-08-26T21:00Z,2021-08-26T21:30Z,79,biomass,0.0
2021-08-26T21:30Z,2021-08-26T22:00Z,81,biomass,0.0
2021-08-26T22:00Z,2021-08-26T22:30Z,87,biomass,0.0
2021-08-26T22:30Z,2021-08-26T23:00Z,79,biomass,0.0
2021-08-26T23:00Z,2021-08-26T23:30Z,82,biomass,0.0
2021-08-26T23:30Z,2021-08-27T00:00Z,85,biomass,0.0
