date,period,price
2021-08-26,1.0,125.0
2021-08-26,2.0,126.0
2021-08-26,3.0,126.0
2021-08-26,4.0,125.0
2021-08-26,5.0,120.0
2021-08-26,6.0,57.61
2021-08-26,7.0,59.13
2021-08-26,8.0,59.13
2021-08-26,9.0,67.1303
2021-08-26,10.0,64.13
2021-08-26,11.0,79.88
2021-08-26,12.0,120.0
2021-08-26,13.0,130.0
2021-08-26,14.0,130.0
2021-08-26,15.0,121.0
2021-08-26,16.0,142.5
2021-08-26,17.0,142.5
2021-08-26,18.0,149.79983
2021-08-26,19.0,148.5
2021-08-26,20.0,142.5
2021-08-26,21.0,142.5
2021-08-26,22.0,136.95
2021-08-26,23.0,130.0
2021-08-26,24.0,60.0
2021-08-26,25.0,65.0
2021-08-26,26.0,60.05
2021-08-26,27.0,60.0
2021-08-26,28.0,59.5
2021-08-26,29.0,71.56994
2021-08-26,30.0,71.56994
2021-08-26,31.0,123.0
2021-08-26,32.0,61.0
2021-08-26,33.0,59.1
2021-08-26,34.0,60.25
2021-08-26,35.0,61.1
2021-08-26,36.0,154.88
2021-08-26,37.0,154.88
2021-08-26,38.0,154.88
2021-08-26,39.0,155.0
2021-08-26,40.0,154.88
2021-08-26,41.0,155.0
2021-08-26,42.0,155.0
2021-08-26,43.0,157.0
2021-08-26,44.0,153.99
2021-08-26,45.0,134.0
2021-08-26,46.0,61.0
2021-08-26,47.0,72.17
2021-08-26,48.0,72.57
2021-08-27,1.0,66.27
2021-08-27,2.0,66.75
2021-08-27,3.0,66.61
2021-08-27,4.0,66.61
2021-08-27,5.0,65.41
2021-08-27,6.0,65.41
2021-08-27,7.0,64.77
2021-08-27,8.0,64.77
2021-08-27,9.0,70.01
2021-08-27,10.0,70.01
2021-08-27,11.0,84.34
2021-08-27,12.0,84.34
2021-08-27,13.0,123.0
2021-08-27,14.0,96.52
